Material,Tipo,Densidad,PrecioGramo,PrecioCarga,Temp/Exp_Min,Temp/Exp_Max,Vel_Min,Vel_Max
PLA,FDM,1.24,0.178,50,180,220,40,100
PLA_Industrial,FDM,1.24,0.678,50,200,220,40,100
PETG,FDM,1.27,0.364,50,200,240,20,100
PETG_ALIMENTICIO,FDM,1.27,0.78,60,200,240,20,100
ABS,FDM,1.07,0.429,70,200,240,40,100
ABS_INDUSTRIAL,FDM,1.07,0.757,70,200,240,40,100
NYLON,FDM,1.14,2.412,70,200,240,40,80
PA(GF),FDM,1.27,1.61588,80,220,240,40,100
POM,FDM,1.14,1.425333333,80,200,240,40,80
TPU,FDM,1.23,0.6,50,180,240,20,60
Resina_PLA,SLA,1.1,0.8932,150,2,4,1.5,3
Resina_Casteable,SLA,1.1,2.2272,150,2,4,1.5,3
Resina_Dental,SLA,1.1,2.33,150,2,4,1.5,3
Resina_Flexible,SLA,1.1,1.932,150,2,4,0.8,1
Resina_HardTough,SLA,1.12,1.4,150,2,4,1.5,3
